,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
0,1nM9BUwYIkDbLABWUHjNZH,28,0.49,0.913,-4.004,0.24,0.0468,4.95e-05,112.137,ATTENTION: MILEY LIVE,Like a Prayer - Live
6,4dFKEyGrwmIimMqwYleFOR,64,0.88,0.777,-4.465,0.88,0.256,0.0,132.982,Super Freaky Girl,"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix"
13,65pVi11JqwSZqUuYAqLP36,56,0.718,0.89,-3.798,0.741,0.0553,0.0,111.967,"HELLO Chapter 1: Hello, Stranger",Movie Star
21,45eY7Qi2PDUs8WJEhjGWdN,72,0.808,0.661,-6.237,0.804,0.0395,0.0,107.992,Ramenez la coupe à la maison,Ramenez la coupe à la maison
31,0j55p8YRAPG8yajtNyjt6A,68,0.69,0.621,-3.583,0.497,0.06,2.81e-05,66.858,Hold You,Hold You - Hold Yuh
39,4fsQ0K37TOXa3hEQfjEic1,87,0.882,0.797,-3.299,0.824,0.0819,0.0,105.025,ANTIFRAGILE,ANTIFRAGILE
40,05ib88vsMeLfwlAfrZyz99,73,0.626,0.623,-5.718,0.123,0.0653,0.0,140.209,MAXIDENT,"TASTE (Lee Know, Hyunjin, Felix)"
42,3V8UKqhEK5zBkBb6d6ub8i,77,0.903,0.675,-3.445,0.442,0.214,1.28e-05,96.507,Te Boté (Remix),Te Boté - Remix
44,1IHWl5LamUGEuP4ozKQSXZ,90,0.65,0.715,-5.198,0.187,0.253,0.000291,106.672,Un Verano Sin Ti,Tití Me Preguntó
53,3Hb9kUdm4yf839Fle4RIdT,79,0.828,0.599,-1.624,0.478,0.149,0.0,86.533,Parado no Bailão,Parado no Bailão
57,30cSNer6TV8x2utjULVeQ5,78,0.677,0.671,-4.905,0.527,0.0361,5.07e-05,137.046,A Girl Like Me,SOS
64,69xohKu8C1fsflYAiSNbwM,84,0.724,0.818,-3.747,0.696,0.168,0.0,77.004,Proof,Run BTS
67,2UP7KnRSvc4taXbjOoSX0f,64,0.634,0.9,-2.614,0.623,0.0583,0.0,152.968,TREASURE EP.2: Zero To One,Say My Name
72,3QwiidVHfeE9y5jl4n2MTC,73,0.709,0.809,-3.198,0.788,0.0541,0.0,111.01,SEVENTEEN 4th Album Repackage 'SECTOR 17',_WORLD
77,7lcI4X8RZxK4zIknJcwpBq,65,0.893,0.699,-8.059,0.747,0.0517,3.02e-06,139.972,Bussin,Bussin
79,6iaVgWHDlYxjjvj3PuKSQX,57,0.607,0.95,-4.134,0.458,0.249,1.86e-06,145.101,TREASURE EP.FIN: All To Action,WIN
84,0ARKW62l9uWIDYMZTUmJHF,78,0.82,0.686,-5.102,0.668,0.038,0.0,110.058,BORN PINK,Shut Down
86,7uJH0YdSZL6psjxI6Xy08b,76,0.372,0.478,-9.835,0.254,0.0503,0.0,101.102,Beauty Behind The Madness,Acquainted
