,track_uri,popularity,danceability,energy,loudness,valence,acousticness,speechiness,instrumentalness,tempo,genres,artist_uri
0,4rPJSqrov3zqGwXlemLBMw,77,0.435,0.768,-5.352,0.378,0.0857,0.201,0.000231,107.588,"['uk contemporary r&b', 'uk pop']",5KKpBU5eC2tJDzf0wmlRp2
1,69EwGs863aPS8olgCWtZ8J,41,0.632,0.349,-11.491,0.299,0.597,0.0309,0.0,148.009,"['v-pop', 'vietnamese singer-songwriter']",0l3YAI1xmZKCZBzduST5ft
2,2sOj9vyd6yiss9W1IK6chU,66,0.42,0.725,-4.262,0.186,0.092,0.223,0.0,77.941,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap']",0QHgL1lAIqAw0HtD7YldmP
3,0F2gUQwJsy8iCfYv3uDgCp,0,0.6,0.326,-9.091,0.214,0.843,0.0281,0.0,84.996,['viet lo-fi'],15BdWDB7smcW5zPsl26u44
4,1SGt65i9AnXYdDQt1AtDRH,67,0.773,0.595,-6.062,0.338,0.114,0.161,2.47e-06,123.968,"['hip hop', 'rap', 'slap house']",0Y5tJX1MQlPlqiwlOH1tJY
5,63qZf6349d3ngku9hrzLac,46,0.572,0.513,-6.078,0.528,0.148,0.0358,1.41e-06,116.397,['v-pop'],6CGGvCBHWqQ4HXtn5aLhbh
6,2dHHgzDwk4BJdRwy9uXhTO,96,0.715,0.62,-6.005,0.172,0.417,0.0484,0.0,97.95,"['hip hop', 'rap', 'trap']",0iEtIxbK0KxaSlF7G42ZOp
7,7hzVxbVA6Y5t9YDzpSgdRS,52,0.624,0.567,-5.232,0.386,0.48,0.0289,0.0,102.054,['v-pop'],1L1VfizWn4DkFt602yD80U
8,1xoadYaxtOp9gHDwgmPDuz,63,0.624,0.604,-5.438,0.354,0.784,0.0619,0.00869,136.077,['v-pop'],6EybZ5zwPNEtEngfrEMevN
9,22I3h5AOENlH4CqXJsEbFR,82,0.418,0.31,-9.869,0.131,0.095,0.0625,0.0,139.614,"['pop r&b', 'r&b']",0jUQSUOcM7lxVn5eVGTkzQ
10,3TSLqZssCoCdDlMhCJ08XW,64,0.68,0.584,-4.457,0.239,0.443,0.034,0.0,118.06,"['k-pop', 'k-pop boy group']",4Kxlr1PRlDKEB0ekOCyHgX
11,1Uj89dqT3gdnnKZnaOMWI8,51,0.578,0.382,-9.915,0.209,0.422,0.0505,0.000254,179.799,['v-pop'],6LrBtADUmDoLlcTrg448Qt
12,7yt7lA03ysN7SDTRX9oblN,37,0.432,0.514,-4.994,0.291,0.726,0.0326,0.0,135.693,['v-pop'],1G2yxRuuHv9mev4EHZzbXw
13,6AWe04n4zsYkGKb3Pf7LMk,45,0.39,0.397,-9.963,0.246,0.287,0.0513,0.0,144.031,"['classic rock', 'glam rock', 'rock']",1dfeR4HaWDbWqFHLkxsg1d
