,track_uri,artist_uri,genres
0,4FFSK1xgCLkTZJLUERLZKG,6jJ0s89eD6GaHleKKya26X,pop
1,5enxwA8aAbwZbf5qCHORXi,06HL4z0CvFAxyc27GXpf02,pop
2,0T482F5L30d7ChNbLqsKa7,2lBxgKTiYd4kpfnAnFyI1P,acoustic guitar cover
3,3EZTyh1wJEmreJH1aULPCj,00FQb4jTyendYWaN8pK0wa,art pop
3,3EZTyh1wJEmreJH1aULPCj,00FQb4jTyendYWaN8pK0wa,pop
4,5Mw9bXG1dLNhbjofkVS2oR,74cb3MG0x0BOnYNW1uXYnM,ccm
4,5Mw9bXG1dLNhbjofkVS2oR,74cb3MG0x0BOnYNW1uXYnM,christian music
4,5Mw9bXG1dLNhbjofkVS2oR,74cb3MG0x0BOnYNW1uXYnM,world worship
4,5Mw9bXG1dLNhbjofkVS2oR,74cb3MG0x0BOnYNW1uXYnM,worship
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,classic rock
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,folk
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,folk rock
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,heartland rock
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,mellow gold
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,singer-songwriter
5,7tPKLyVCht1WMkPtp1HyPh,1gRNBaI4yn6wCCTvRhGWh8,soft rock
6,6lanRgr6wXibZr8KgzXxBl,7H55rcKCfwqkyDFH9wpKM6,pop
7,5EQzuYfTZt7B2LqlvTF49l,4S9EykWXhStSc15wEx8QFK,canadian pop
8,17OcYtOhsN5zcrX3Q1TY9X,3WfJ1OtrWI7RViX9DMyEGy,neon pop punk
8,17OcYtOhsN5zcrX3Q1TY9X,3WfJ1OtrWI7RViX9DMyEGy,pop punk
9,4LFwNJWoj74Yd71fIr1W8x,0grdhNhiRLFBaFVyybqsj6,new wave pop
9,4LFwNJWoj74Yd71fIr1W8x,0grdhNhiRLFBaFVyybqsj6,soft rock
10,6DimgukTnjDrTxaQ0NnZvM,2QOIawHpSlOwXDvSqQ9YJR,baroque
10,6DimgukTnjDrTxaQ0NnZvM,2QOIawHpSlOwXDvSqQ9YJR,classical
10,6DimgukTnjDrTxaQ0NnZvM,2QOIawHpSlOwXDvSqQ9YJR,early music
10,6DimgukTnjDrTxaQ0NnZvM,2QOIawHpSlOwXDvSqQ9YJR,italian baroque
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,adult standards
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,disco
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,funk
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,mellow gold
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,motown
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,quiet storm
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,soft rock
11,2uTGX4wxnRGS3i0FSOMGCQ,6twIAGnYuIT1pncMAsXnEm,soul
12,33JFCwEvVejNIxGwHMakbk,7aKABlGTdOJkSML40kD64b,new age piano
13,1zng9uqqXoPkmU05nsAlsw,58lV9VcRSjABbAbfWS6skp,glam metal
13,1zng9uqqXoPkmU05nsAlsw,58lV9VcRSjABbAbfWS6skp,rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,album rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,art rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,classic rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,mellow gold
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,new romantic
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,new wave
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,permanent wave
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,progressive rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,rock
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,singer-songwriter
14,1wKkRvZnuVde5OYhKwTMeY,7C4sUpWGlTy7IANjruj02I,soft rock
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,new romantic
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,new wave
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,new wave pop
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,permanent wave
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,rock
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,sophisti-pop
15,5jmwL2MniQj9ldptIm1h1B,4bthk9UfsYUYdcFyqxmSUU,synthpop
16,01lewSOj9ZaXplh9TpNKL4,7guDJrEfX3qb6FEbdPA5qi,motown
16,01lewSOj9ZaXplh9TpNKL4,7guDJrEfX3qb6FEbdPA5qi,soul
17,1OEoNpiyqBghuEUaT6Je6U,3qm84nBOXUEQ2vnTfUTTFC,glam metal
17,1OEoNpiyqBghuEUaT6Je6U,3qm84nBOXUEQ2vnTfUTTFC,hard rock
17,1OEoNpiyqBghuEUaT6Je6U,3qm84nBOXUEQ2vnTfUTTFC,rock
18,5zGrlUCEJy4yMZ5xuqxrr0,0abIHznUj0oKhDB29cpBZ9,neon pop punk
18,5zGrlUCEJy4yMZ5xuqxrr0,0abIHznUj0oKhDB29cpBZ9,pop emo
18,5zGrlUCEJy4yMZ5xuqxrr0,0abIHznUj0oKhDB29cpBZ9,pop punk
19,10eBRyImhfqVvkiVEGf0N0,06HL4z0CvFAxyc27GXpf02,pop
20,095MMFhB9qxPx2VsmvjnUs,6tbjWDEIzxoDsBA1FuhfPW,dance pop
20,095MMFhB9qxPx2VsmvjnUs,6tbjWDEIzxoDsBA1FuhfPW,pop
21,3l3xTXsUXeWlkPqzMs7mPD,6O74knDqdv3XaWtkII7Xjp,boy band
21,3l3xTXsUXeWlkPqzMs7mPD,6O74knDqdv3XaWtkII7Xjp,contemporary r&b
21,3l3xTXsUXeWlkPqzMs7mPD,6O74knDqdv3XaWtkII7Xjp,new jack swing
21,3l3xTXsUXeWlkPqzMs7mPD,6O74knDqdv3XaWtkII7Xjp,r&b
21,3l3xTXsUXeWlkPqzMs7mPD,6O74knDqdv3XaWtkII7Xjp,urban contemporary
22,07HqIg8BnB1lJElnw2ZiSR,58lV9VcRSjABbAbfWS6skp,glam metal
22,07HqIg8BnB1lJElnw2ZiSR,58lV9VcRSjABbAbfWS6skp,rock
23,3G0ENKW9vzV0SuYKaWFflI,3PhoLpVuITZKcymswpck5b,glam rock
23,3G0ENKW9vzV0SuYKaWFflI,3PhoLpVuITZKcymswpck5b,mellow gold
23,3G0ENKW9vzV0SuYKaWFflI,3PhoLpVuITZKcymswpck5b,piano rock
23,3G0ENKW9vzV0SuYKaWFflI,3PhoLpVuITZKcymswpck5b,rock
24,5kK1Iru9ogP3Iy1zsANU1n,4S9EykWXhStSc15wEx8QFK,canadian pop
25,3dLRK3SKATbzMd1tcAzsJz,3TiMWWKSoRKEySGbBGkdrk,
26,4FQl3UEK1onBjFceVJUvnU,3WfJ1OtrWI7RViX9DMyEGy,neon pop punk
