track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo
5enxwA8aAbwZbf5qCHORXi,85,0.631,0.518,-8.771,0.205,0.0303,0.0,93.023
0T482F5L30d7ChNbLqsKa7,42,0.414,0.235,-15.252,0.137,0.0429,0.907,144.467
5Mw9bXG1dLNhbjofkVS2oR,69,0.262,0.361,-10.187,0.056,0.0333,0.00268,126.786
7tPKLyVCht1WMkPtp1HyPh,36,0.316,0.221,-14.316,0.123,0.028,0.226,89.947
6lanRgr6wXibZr8KgzXxBl,82,0.421,0.407,-7.445,0.161,0.0267,0.000961,139.028
3EZTyh1wJEmreJH1aULPCj,62,0.323,0.106,-10.374,0.158,0.0323,5.94e-05,91.455
4LFwNJWoj74Yd71fIr1W8x,77,0.395,0.252,-13.589,0.126,0.0301,0.0,177.679
6DimgukTnjDrTxaQ0NnZvM,52,0.29,0.0809,-19.507,0.0968,0.0488,0.00285,99.003
2uTGX4wxnRGS3i0FSOMGCQ,59,0.487,0.094,-19.555,0.0788,0.0274,0.000224,74.857
1zng9uqqXoPkmU05nsAlsw,75,0.309,0.596,-5.599,0.161,0.0293,0.0,164.587
1wKkRvZnuVde5OYhKwTMeY,47,0.543,0.257,-15.568,0.363,0.0528,0.000442,161.409
5jmwL2MniQj9ldptIm1h1B,67,0.434,0.609,-8.295,0.372,0.0306,0.00108,159.994
01lewSOj9ZaXplh9TpNKL4,62,0.779,0.571,-15.327,0.96,0.0427,1.16e-05,116.197
5zGrlUCEJy4yMZ5xuqxrr0,50,0.519,0.668,-5.844,0.424,0.028,0.0,141.965
095MMFhB9qxPx2VsmvjnUs,60,0.652,0.521,-6.752,0.235,0.0256,0.0011,109.943
3l3xTXsUXeWlkPqzMs7mPD,73,0.64,0.427,-9.29,0.529,0.0241,0.0,149.703
07HqIg8BnB1lJElnw2ZiSR,70,0.437,0.727,-5.432,0.233,0.0293,0.0,73.029
3G0ENKW9vzV0SuYKaWFflI,69,0.632,0.656,-9.29,0.752,0.0277,0.000264,86.605
3dLRK3SKATbzMd1tcAzsJz,52,0.55,0.234,-10.264,0.233,0.0358,2.96e-06,72.799
4FQl3UEK1onBjFceVJUvnU,41,0.486,0.896,-4.144,0.482,0.0471,0.0,139.921
11FcfHd3SOmmrWJPGe7Y30,64,0.424,0.446,-8.526,0.354,0.0261,1.89e-06,139.701
0L0T4tMAaGqLgIVj1MOj9t,64,0.689,0.333,-13.288,0.284,0.0262,3.36e-05,101.988
0CsM8VGDi38kusMv3pxyj1,71,0.742,0.533,-9.098,0.391,0.0288,0.148,97.395
4F2t297QK40XFcIHqkmLHs,66,0.51,0.667,-4.715,0.356,0.0294,0.00683,125.887
5RgFlk1fcClZd0Y4SGYhqH,74,0.292,0.324,-11.996,0.384,0.0346,0.000473,176.631
6JHXiRD1QjMK1N6AQEnL04,65,0.498,0.723,-8.053,0.882,0.05,0.0,153.227
75mx4MRQt4l7Gs49JSc6QV,47,0.434,0.324,-13.994,0.18,0.0289,4.76e-05,146.088
7esAUabV6rHcj76syr32Uf,58,0.738,0.434,-12.069,0.417,0.0234,0.00013,99.819
7hn8Q8WAxFdL4aZ159GI7C,64,0.272,0.281,-8.131,0.152,0.0307,0.0,138.856
1ONoPkp5XIuw3tZ1GzrNKZ,58,0.489,0.364,-10.672,0.377,0.03,0.0,135.352
3F2YXxSOC9dPmxXdrh6mYl,56,0.353,0.207,-14.718,0.184,0.0306,0.0,144.539
2TcwEYyydQuEMJwdmSgVLD,56,0.597,0.342,-8.167,0.11,0.0299,3.04e-05,109.609
6PypGyiu0Y2lCDBN1XZEnP,75,0.467,0.324,-10.451,0.166,0.0255,0.0248,94.301
19Kf8FxBJ5a1Bb8uKCrIIe,55,0.616,0.444,-14.224,0.763,0.0276,0.000115,143.805
0gsl92EMIScPGV1AU35nuD,68,0.344,0.325,-10.005,0.0775,0.0287,0.0223,118.515
2BHj31ufdEqVK5CkYDp9mA,78,0.658,0.747,-6.615,0.792,0.0431,8.49e-06,108.259
0tQ9vBYpldCuikPsbgOVKA,68,0.393,0.531,-6.112,0.224,0.0329,0.0,200.391
3m8lTUL5GxGUNSaycI77ND,63,0.322,0.168,-13.893,0.259,0.0336,0.000223,146.68
5wQnmLuC1W7ATsArWACrgW,79,0.217,0.905,-4.103,0.236,0.0752,0.00011,96.95
75JFxkI2RXiU7L9VXzMkle,86,0.557,0.442,-7.224,0.213,0.0243,1.46e-05,146.277
5GnRdw3oNKF8Mz6gdEcQLK,50,0.35,0.105,-19.886,0.214,0.0374,0.743,113.544
1qhp5owrFGeZ5Jgin28nwR,66,0.473,0.263,-10.684,0.461,0.0336,4.41e-05,169.094
2M7y4xDWT67Lf0JE9mrz1R,43,0.806,0.762,-6.027,0.235,0.0368,1.05e-05,100.332
1pAgEx6lFs4E66192Vd56Y,36,0.279,0.343,-9.937,0.176,0.0563,1.74e-05,79.774
7EZC6E7UjZe63f1jRmkWxt,83,0.309,0.649,-8.994,0.312,0.035,0.00591,166.915
41e8y8N7OLiVTWMam9iebK,54,0.391,0.543,-7.765,0.238,0.0371,0.000364,144.552
1JLn8RhQzHz3qDqsChcmBl,81,0.477,0.471,-10.036,0.423,0.0277,1.76e-06,81.204
0rH0mprtecH3grD9HFM5AD,72,0.572,0.685,-7.29,0.232,0.0356,0.0,110.698
5V7mTIcXVU9k2JNu0mE6vy,62,0.433,0.307,-8.796,0.378,0.0327,0.0,178.114
0e3yhVeNaTfKIWQRw9U9sY,75,0.756,0.422,-12.967,0.487,0.0292,0.00183,112.751
2RlgNHKcydI9sayD2Df2xp,81,0.388,0.338,-10.054,0.478,0.0329,3.73e-06,177.765
0J8A1ZVyJcRZxFNvtp6jRh,61,0.489,0.358,-10.413,0.422,0.0302,0.018,77.784
61YM5SkqqeUjIBL7It56cs,63,0.446,0.0146,-31.047,0.0815,0.12,0.945,137.697
6lEuFGrUqR9Yc6hSsHPnYP,34,0.39,0.649,-5.163,0.144,0.0345,0.0,121.16
6EMQo2suHaUYZVsbGVTxSZ,61,0.51,0.622,-7.651,0.387,0.0268,0.00532,77.663
07UFnnK3uPIuKv5Rs9TmXl,72,0.647,0.384,-10.825,0.208,0.0374,6.55e-06,119.831
2M9ro2krNb7nr7HSprkEgo,80,0.711,0.292,-15.523,0.194,0.037,0.0,103.951
1LzNfuep1bnAUR9skqdHCK,80,0.42,0.33,-13.925,0.175,0.0275,0.000679,157.143
6ADSaE87h8Y3lccZlBJdXH,80,0.54,0.429,-11.822,0.113,0.0285,0.355,110.171
5Jt2AQv1c3RUF5ENtAYF1i,57,0.375,0.317,-11.741,0.12,0.0315,2.92e-05,112.003
1Gxaks4MTbjMCAQ20rx4Iy,57,0.615,0.563,-7.585,0.547,0.0254,0.00118,105.772
5WwqdeavrQrbeAMDxGawse,74,0.408,0.48,-11.017,0.19,0.0266,1.82e-05,156.344
6l8EbYRtQMgKOyc1gcDHF9,72,0.149,0.206,-13.888,0.264,0.0323,0.000649,79.764
3DrjZArsPsoqbLzUZZV1Id,72,0.529,0.67,-4.663,0.286,0.0303,0.0,141.893
6s0NHplywwr1IjnQpUpWJk,71,0.459,0.727,-11.777,0.955,0.0303,0.0652,149.231
26Zco2DqGMnDIjOX0aIqER,52,0.469,0.596,-5.981,0.0379,0.0505,0.00697,155.708
3hJoAM3O7q1i70lJRf8Cky,49,0.36,0.505,-5.485,0.382,0.0314,0.0,69.126
49MHCPzvMLXhRjDantBMVH,72,0.589,0.453,-8.912,0.513,0.0397,2.54e-05,139.148
6Qyc6fS4DsZjB2mRW9DsQs,85,0.315,0.715,-8.072,0.497,0.0362,7.97e-06,155.925
6fkvIT9KFKxO8poBeKfaEf,69,0.534,0.442,-9.442,0.343,0.0308,0.000351,136.369
73GR50SgGV5hybgWDSFWtD,63,0.453,0.359,-8.567,0.178,0.0247,3.02e-05,76.015
2JWKzkQbYsNzx019WyGzaH,68,0.472,0.373,-12.98,0.459,0.0262,0.206,135.193
3rXCZRMiMZp0feGcYXpwYX,72,0.467,0.622,-7.255,0.455,0.031,0.00527,164.418
10eBRyImhfqVvkiVEGf0N0,80,0.455,0.623,-3.878,0.208,0.0288,0.000424,163.893
3gsCAGsWr6pUm1Vy7CPPob,73,0.476,0.381,-10.238,0.33,0.0342,0.0,121.948
7Gvf6Li9MYft4fUijkFjKq,66,0.449,0.149,-17.55,0.251,0.0306,0.000399,102.88
7wJpqjqk8QbHpCakY1ZacY,51,0.616,0.271,-17.212,0.336,0.0458,0.000126,125.021
23gmmiGpMHkxWc0XI1ika5,51,0.315,0.524,-8.804,0.409,0.0378,0.000191,177.146
5by7gtiDrxe4n2qQQunL8S,55,0.39,0.255,-9.676,0.179,0.0299,1.14e-06,122.056
5GHY1DFWKz3Prg2V0Iodqo,74,0.512,0.574,-7.016,0.161,0.0273,2.31e-05,119.917
33LC84JgLvK2KuW43MfaNq,76,0.428,0.276,-11.729,0.0382,0.0312,5.33e-06,99.195
