Unnamed: 0,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,track_uri
9373,2023-02-22 19:33:40+00:00,sir_frankster,ios,3215302,US,166.198.24.67,unknown,,,,,,,,trackdone,endplay,False,1.0,False,1677017869,False,
4517,2023-02-16 21:49:46+00:00,sir_frankster,ios,2356158,US,166.198.24.68,unknown,,,,,,,,clickrow,endplay,False,1.0,False,1676581779,False,
10828,2023-02-16 16:49:22+00:00,sir_frankster,ios,2212606,US,166.198.24.68,unknown,,,,,,,,appload,logout,False,0.0,False,1676557606,False,
6553,2023-02-17 15:03:42+00:00,sir_frankster,ios,1911109,US,166.198.24.68,unknown,,,,,,,,clickrow,endplay,False,1.0,False,1676644312,False,
8410,2023-02-22 22:20:05+00:00,sir_frankster,ios,1903200,US,24.2.197.91,unknown,,,,,,,,fwdbtn,unexpected-exit-while-paused,False,0.0,False,1677102385,False,
9379,2023-02-21 22:17:47+00:00,sir_frankster,ios,1435653,US,166.198.24.66,unknown,,,,,,,,clickrow,endplay,False,1.0,False,1677016433,False,
1977,2023-02-21 15:01:29+00:00,sir_frankster,ios,1126307,US,166.198.21.52,unknown,,,,,,,,clickrow,trackdone,False,0.0,False,1676990562,False,
14895,2023-02-21 15:28:43+00:00,sir_frankster,ios,955697,US,166.198.24.67,unknown,,,,,,,,trackdone,logout,False,0.0,False,1676991689,False,
11679,2023-02-18 21:32:28+00:00,sir_frankster,ios,903489,US,24.2.197.91,unknown,,,,,,,,appload,unexpected-exit-while-paused,False,0.0,False,1676755043,False,
10038,2023-03-17 22:45:19+00:00,sir_frankster,ios,613026,US,107.115.20.162,unknown,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,,,,trackdone,trackdone,True,0.0,False,1679092506,False,5enxwA8aAbwZbf5qCHORXi
906,2023-01-04 02:56:30+00:00,sir_frankster,osx,613026,US,24.2.197.91,unknown,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),spotify:track:5enxwA8aAbwZbf5qCHORXi,,,,trackdone,trackdone,False,0.0,False,1672800376,False,5enxwA8aAbwZbf5qCHORXi
9589,2023-02-23 01:13:09+00:00,sir_frankster,osx,525767,US,24.2.197.91,unknown,A Million Dreams (Instrumental Guitar),Guus Dielissen,A Million Dreams (Instrumental Guitar),spotify:track:0T482F5L30d7ChNbLqsKa7,,,,trackdone,trackdone,False,0.0,False,1677113981,False,0T482F5L30d7ChNbLqsKa7
6015,2023-01-27 00:37:28+00:00,sir_frankster,osx,488289,US,24.2.197.91,unknown,Oceans (Where Feet May Fail),Hillsong UNITED,Zion,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,,,,trackdone,endplay,False,1.0,False,1674779359,False,5Mw9bXG1dLNhbjofkVS2oR
2496,2022-11-23 13:22:41+00:00,sir_frankster,windows,478146,US,73.160.46.118,unknown,And I Love You So,Don McLean,The Very Best Of Don McLean,spotify:track:7tPKLyVCht1WMkPtp1HyPh,,,,fwdbtn,trackdone,False,0.0,False,1669209284,False,7tPKLyVCht1WMkPtp1HyPh
11845,2023-04-18 02:34:00+00:00,sir_frankster,osx,473978,US,24.2.197.91,unknown,A Thousand Years,Christina Perri,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl,,,,trackdone,fwdbtn,False,1.0,False,1681784765,False,6lanRgr6wXibZr8KgzXxBl
8901,2023-03-14 21:26:20+00:00,sir_frankster,osx,453474,US,24.2.197.91,unknown,Arcadia,Lana Del Rey,Blue Banisters,spotify:track:3EZTyh1wJEmreJH1aULPCj,,,,clickrow,logout,False,0.0,False,1678812646,False,3EZTyh1wJEmreJH1aULPCj
16159,2023-04-16 16:05:26+00:00,sir_frankster,osx,411564,US,24.2.197.91,unknown,Right Here Waiting,Richard Marx,Repeat Offender,spotify:track:4LFwNJWoj74Yd71fIr1W8x,,,,trackdone,trackdone,False,0.0,False,1681660714,False,4LFwNJWoj74Yd71fIr1W8x
10560,2023-02-17 15:10:33+00:00,sir_frankster,ios,408737,US,166.198.21.52,unknown,,,,,,,,trackdone,unexpected-exit-while-paused,False,0.0,False,1676646224,False,
10784,2023-02-25 21:43:33+00:00,sir_frankster,osx,402600,US,24.2.197.91,unknown,"Nulla in mundo pax, RV 630: 1. Nulla in mundo pax",Antonio Vivaldi,Vivaldi: Gloria/Nisi Dominus/4 Cantatas etc.,spotify:track:6DimgukTnjDrTxaQ0NnZvM,,,,trackdone,trackdone,False,0.0,False,1677361011,False,6DimgukTnjDrTxaQ0NnZvM
4742,2023-02-07 02:54:34+00:00,sir_frankster,osx,398506,US,24.2.197.91,unknown,Three Times A Lady,Commodores,Natural High,spotify:track:2uTGX4wxnRGS3i0FSOMGCQ,,,,trackdone,trackdone,False,0.0,False,1675738075,False,2uTGX4wxnRGS3i0FSOMGCQ
7510,2022-12-18 19:40:33+00:00,sir_frankster,ios,398506,US,107.122.192.162,unknown,Three Times A Lady,Commodores,Natural High,spotify:track:2uTGX4wxnRGS3i0FSOMGCQ,,,,trackdone,trackdone,True,0.0,False,1671392035,False,2uTGX4wxnRGS3i0FSOMGCQ
12701,2022-10-22 00:12:11+00:00,sir_frankster,ios,394400,US,166.196.103.58,unknown,Bed Of Roses,Bon Jovi,Keep The Faith,spotify:track:1zng9uqqXoPkmU05nsAlsw,,,,trackdone,trackdone,True,0.0,False,1666397137,False,1zng9uqqXoPkmU05nsAlsw
360,2022-12-17 05:27:29+00:00,sir_frankster,osx,393586,US,24.2.197.91,unknown,Don't Give Up - 2012 Remaster,Peter Gabriel,So,spotify:track:1wKkRvZnuVde5OYhKwTMeY,,,,trackdone,trackdone,False,0.0,False,1671254456,False,1wKkRvZnuVde5OYhKwTMeY
7153,2022-12-17 08:46:04+00:00,sir_frankster,osx,391000,US,24.2.197.91,unknown,Woman In Chains,Tears For Fears,The Seeds Of Love,spotify:track:5jmwL2MniQj9ldptIm1h1B,,,,trackdone,trackdone,False,0.0,False,1671266373,False,5jmwL2MniQj9ldptIm1h1B
7877,2022-12-17 19:31:20+00:00,sir_frankster,ios,391000,US,107.122.189.123,unknown,Woman In Chains,Tears For Fears,The Seeds Of Love,spotify:track:5jmwL2MniQj9ldptIm1h1B,,,,trackdone,trackdone,True,0.0,False,1671305089,False,5jmwL2MniQj9ldptIm1h1B
1006,2023-01-10 00:35:18+00:00,sir_frankster,osx,357026,US,24.2.197.91,unknown,Happy Birthday,Stevie Wonder,Hotter Than July,spotify:track:01lewSOj9ZaXplh9TpNKL4,,,,trackdone,trackdone,False,0.0,False,1673310560,False,01lewSOj9ZaXplh9TpNKL4
5276,2023-02-08 05:53:09+00:00,sir_frankster,osx,353006,US,24.2.197.91,unknown,Goodnight Moon,Go Radio,Do Overs And Second Chances,spotify:track:5zGrlUCEJy4yMZ5xuqxrr0,,,,trackdone,trackdone,False,0.0,False,1675835235,False,5zGrlUCEJy4yMZ5xuqxrr0
5154,2022-12-17 05:50:08+00:00,sir_frankster,osx,351920,US,24.2.197.91,unknown,Live to Tell,Madonna,True Blue,spotify:track:095MMFhB9qxPx2VsmvjnUs,,,,trackdone,trackdone,False,0.0,False,1671255856,False,095MMFhB9qxPx2VsmvjnUs
7818,2022-10-22 00:05:36+00:00,sir_frankster,ios,351466,US,166.196.103.58,unknown,End Of The Road,Boyz II Men,Cooleyhighharmony,spotify:track:3l3xTXsUXeWlkPqzMs7mPD,,,,trackdone,trackdone,True,0.0,False,1666396785,False,3l3xTXsUXeWlkPqzMs7mPD
9232,2022-12-17 05:01:50+00:00,sir_frankster,osx,346586,US,24.2.197.91,unknown,I'll Be There For You,Bon Jovi,New Jersey,spotify:track:07HqIg8BnB1lJElnw2ZiSR,,,,trackdone,trackdone,False,0.0,False,1671252963,False,07HqIg8BnB1lJElnw2ZiSR
6026,2022-12-17 07:23:05+00:00,sir_frankster,osx,343240,US,24.2.197.91,unknown,Nikita,Elton John,Ice On Fire,spotify:track:3G0ENKW9vzV0SuYKaWFflI,,,,trackdone,trackdone,False,0.0,False,1671261442,False,3G0ENKW9vzV0SuYKaWFflI
11873,2023-02-23 00:10:05+00:00,sir_frankster,osx,341917,US,24.2.197.91,unknown,I Choose You,Ryann Darling,I Choose You,spotify:track:3dLRK3SKATbzMd1tcAzsJz,,,,clickrow,trackdone,False,0.0,False,1677110586,False,3dLRK3SKATbzMd1tcAzsJz
4991,2023-02-08 07:15:16+00:00,sir_frankster,osx,339960,US,24.2.197.91,unknown,Three Cheers For Five Years,Mayday Parade,Tales Told By Dead Friends,spotify:track:4FQl3UEK1onBjFceVJUvnU,,,,trackdone,trackdone,False,0.0,False,1675840176,False,4FQl3UEK1onBjFceVJUvnU
8003,2022-12-17 20:51:17+00:00,sir_frankster,ios,337600,US,107.122.189.123,unknown,Live to Tell,Madonna,True Blue,spotify:track:095MMFhB9qxPx2VsmvjnUs,,,,trackdone,endplay,True,1.0,False,1671309938,False,095MMFhB9qxPx2VsmvjnUs
10294,2022-11-19 16:17:24+00:00,sir_frankster,ios,336733,US,107.122.190.123,unknown,Don't Let The Sun Go Down On Me,Elton John,Caribou,spotify:track:11FcfHd3SOmmrWJPGe7Y30,,,,trackdone,trackdone,True,0.0,False,1668874307,False,11FcfHd3SOmmrWJPGe7Y30
7759,2022-11-27 01:00:49+00:00,sir_frankster,ios,336733,US,107.122.192.161,unknown,Don't Let The Sun Go Down On Me,Elton John,Caribou,spotify:track:11FcfHd3SOmmrWJPGe7Y30,,,,trackdone,trackdone,True,0.0,False,1669510513,False,11FcfHd3SOmmrWJPGe7Y30
16092,2022-12-27 01:08:41+00:00,sir_frankster,ios,336733,US,107.127.45.83,unknown,Don't Let The Sun Go Down On Me,Elton John,Caribou,spotify:track:11FcfHd3SOmmrWJPGe7Y30,,,,trackdone,trackdone,True,0.0,False,1672102984,False,11FcfHd3SOmmrWJPGe7Y30
2346,2022-12-17 07:15:51+00:00,sir_frankster,osx,336666,US,24.2.197.91,unknown,Father Figure - Remastered,George Michael,Faith,spotify:track:0L0T4tMAaGqLgIVj1MOj9t,,,,trackdone,trackdone,False,0.0,False,1671261014,False,0L0T4tMAaGqLgIVj1MOj9t
12091,2022-12-17 08:33:04+00:00,sir_frankster,osx,329146,US,24.2.197.91,unknown,True - Single Edit,Spandau Ballet,True - The Digital E.P.,spotify:track:0CsM8VGDi38kusMv3pxyj1,,,,trackdone,trackdone,False,0.0,False,1671265654,False,0CsM8VGDi38kusMv3pxyj1
888,2022-12-17 06:39:21+00:00,sir_frankster,osx,327746,US,24.2.197.91,unknown,I Wish It Would Rain Down - 2016 Remaster,Phil Collins,...But Seriously,spotify:track:4F2t297QK40XFcIHqkmLHs,,,,trackdone,trackdone,False,0.0,False,1671258832,False,4F2t297QK40XFcIHqkmLHs
8999,2022-11-23 12:30:58+00:00,sir_frankster,windows,326843,US,73.160.46.118,unknown,She's Always a Woman,Billy Joel,The Stranger (Legacy Edition),spotify:track:5RgFlk1fcClZd0Y4SGYhqH,,,,remote,trackdone,False,0.0,False,1669206332,False,5RgFlk1fcClZd0Y4SGYhqH
2625,2022-12-17 06:12:18+00:00,sir_frankster,osx,324040,US,24.2.197.91,unknown,Biggest Part of Me,Ambrosia,One Eighty,spotify:track:6JHXiRD1QjMK1N6AQEnL04,,,,trackdone,trackdone,False,0.0,False,1671257214,False,6JHXiRD1QjMK1N6AQEnL04
1336,2022-12-17 19:07:57+00:00,sir_frankster,ios,324040,US,107.122.189.123,unknown,Biggest Part of Me,Ambrosia,One Eighty,spotify:track:6JHXiRD1QjMK1N6AQEnL04,,,,trackdone,trackdone,True,0.0,False,1671303753,False,6JHXiRD1QjMK1N6AQEnL04
864,2022-12-17 07:04:42+00:00,sir_frankster,osx,321173,US,24.2.197.91,unknown,Through the Barricades,Spandau Ballet,80s 100 Hits,spotify:track:75mx4MRQt4l7Gs49JSc6QV,,,,trackdone,trackdone,False,0.0,False,1671260361,False,75mx4MRQt4l7Gs49JSc6QV
2348,2022-12-17 05:16:51+00:00,sir_frankster,osx,320466,US,24.2.197.91,unknown,Piano In The Dark,Brenda Russell,Greatest Hits,spotify:track:7esAUabV6rHcj76syr32Uf,,,,trackdone,trackdone,False,0.0,False,1671253891,False,7esAUabV6rHcj76syr32Uf
16083,2022-12-17 16:37:19+00:00,sir_frankster,osx,320466,US,24.2.197.91,unknown,Piano In The Dark,Brenda Russell,Greatest Hits,spotify:track:7esAUabV6rHcj76syr32Uf,,,,trackdone,trackdone,False,0.0,False,1671294719,False,7esAUabV6rHcj76syr32Uf
4266,2023-03-09 00:51:56+00:00,sir_frankster,osx,317530,US,24.2.197.91,unknown,A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,Christina Perri,The Twilight Saga: Breaking Dawn - Part 2,spotify:track:7hn8Q8WAxFdL4aZ159GI7C,,,,clickrow,trackdone,False,0.0,False,1678322799,False,7hn8Q8WAxFdL4aZ159GI7C
7194,2023-03-09 19:06:28+00:00,sir_frankster,ios,316986,US,107.115.20.164,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1678388471,False,1ONoPkp5XIuw3tZ1GzrNKZ
10839,2023-02-23 19:04:05+00:00,sir_frankster,ios,316986,US,166.198.24.66,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1677178728,False,1ONoPkp5XIuw3tZ1GzrNKZ
7660,2023-03-19 18:50:59+00:00,sir_frankster,ios,316986,US,107.115.20.162,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,fwdbtn,trackdone,True,0.0,False,1679251544,False,1ONoPkp5XIuw3tZ1GzrNKZ
1982,2023-04-17 20:52:21+00:00,sir_frankster,ios,316986,US,107.115.20.49,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1681764424,False,1ONoPkp5XIuw3tZ1GzrNKZ
603,2023-04-01 20:26:14+00:00,sir_frankster,ios,316986,US,107.115.20.147,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1680377872,False,1ONoPkp5XIuw3tZ1GzrNKZ
16068,2023-02-11 17:03:45+00:00,sir_frankster,osx,316986,US,24.2.197.91,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,False,0.0,False,1676129587,False,1ONoPkp5XIuw3tZ1GzrNKZ
2880,2023-02-07 18:57:42+00:00,sir_frankster,ios,316986,US,166.198.24.66,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1675795887,False,1ONoPkp5XIuw3tZ1GzrNKZ
4613,2023-02-08 20:05:44+00:00,sir_frankster,ios,316986,US,166.198.22.52,unknown,Miserable At Best,Mayday Parade,A Lesson In Romantics,spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ,,,,trackdone,trackdone,True,0.0,False,1675886427,False,1ONoPkp5XIuw3tZ1GzrNKZ
