,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
0,2018-09-27T12:12:55Z,sir_frankster,"iOS 11.4.1 (iPhone8,1)",285120,US,66.87.31.16,unknown,A Thousand Years,Christina Perri,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl,,,,trackdone,trackdone,True,,False,1538050089171,False
1,2018-01-23T13:58:46Z,sir_frankster,"iOS 11.1.1 (iPhone8,1)",237300,US,66.87.31.235,unknown,7 Years,Lukas Graham,Lukas Graham,spotify:track:5kqIPrATaCc2LqxVWzQGbk,,,,trackdone,trackdone,True,,False,1516715687473,False
2,2021-10-20T18:41:27Z,sir_frankster,"iOS 12.0.1 (iPhone6,1)",242013,US,107.127.45.51,unknown,drivers license,Olivia Rodrigo,SOUR,spotify:track:5wANPM4fQCJwkGd4rN57mH,,,,trackdone,trackdone,False,,False,1634755042990,False
3,2020-12-01T05:25:31Z,sir_frankster,Windows 10 (10.0.18363; x64; AppX),81544,US,108.53.217.176,unknown,Piano Man,Billy Joel,Piano Man,spotify:track:78WVLOP9pN0G3gRLFy1rAa,,,,trackdone,logout,False,,False,1606597571553,False
4,2019-05-25T04:59:44Z,sir_frankster,OS X 10.14.4 [x86 8],2316,US,100.8.116.86,unknown,Push It to the Limit,Corbin Bleu,Another Side,spotify:track:3K01q0jtSNHeqx5gs97HH2,,,,clickrow,endplay,True,,False,1558760381716,False
5,2022-12-12T04:28:57Z,sir_frankster,osx,179491,US,24.2.197.91,unknown,Here You Come Again,Dolly Parton,Here You Come Again,spotify:track:6H7nDglS6xWpRidbhMwI2L,,,,trackdone,trackdone,False,0.0,False,1670819157,False
6,2023-02-27T01:18:12Z,sir_frankster,osx,313216,US,24.2.197.91,unknown,Everybody Hurts,R.E.M.,Automatic For The People,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,,,,clickrow,endplay,False,1.0,False,1677460376,False
7,2018-04-23T16:53:26Z,sir_frankster,"iOS 11.2.6 (iPhone8,1)",1068,US,66.87.85.239,unknown,Look What You Made Me Do,Taylor Swift,reputation,spotify:track:1P17dC1amhFzptugyAO7Il,,,,fwdbtn,fwdbtn,True,,False,1524502404667,False
8,2023-04-17T20:38:11Z,sir_frankster,ios,8165,US,107.115.20.49,unknown,Three Cheers For Five Years,Mayday Parade,"Punk Goes Acoustic, Vol. 2",spotify:track:3hJoAM3O7q1i70lJRf8Cky,,,,trackdone,fwdbtn,True,1.0,False,1681763882,False
9,2022-03-28T14:21:25Z,sir_frankster,Windows 10 (10.0.19044; x64),175640,US,67.80.109.157,unknown,Rest And Recreation,Andrew Samonsky,The Hunchback of Notre Dame (Studio Cast Recording),spotify:track:3mLIZNIg2AonIIibJ9XyWL,,,,trackdone,trackdone,False,,False,1648477108765,False
10,2018-12-10T20:35:30Z,sir_frankster,OS X 10.14.1 [x86 8],176266,US,128.235.250.32,unknown,Love Me Tender,Norah Jones,The Princess Diaries 2: Royal Engagement,spotify:track:7CR0AgPCTmwKrg8hrtTJVV,,,,trackdone,trackdone,True,,False,1544473952937,False
11,2022-06-26T02:21:53Z,sir_frankster,"iOS 15.4.1 (iPhone13,1)",200306,US,107.122.160.82,unknown,False God,Taylor Swift,Lover,spotify:track:5hQSXkFgbxjZo9uCwd11so,,,,trackdone,trackdone,True,,False,1656209912408,False
12,2020-07-28T17:32:21Z,sir_frankster,OS X 10.15.6 [x86 4],200173,US,192.187.63.208,unknown,Wild World,Yusuf / Cat Stevens,Tea For The Tillerman,spotify:track:6Xz7FeyE8HTP90HecgHV57,,,,clickrow,trackdone,False,,False,1595957341617,False
13,2021-06-12T14:49:39Z,sir_frankster,OS X 11.4.0 [x86 4],162493,US,24.146.204.40,unknown,Somethin' Stupid,Frank Sinatra,The World We Knew,spotify:track:4feXcsElKIVsGwkbnTHAfV,,,,trackdone,trackdone,False,,False,1623509215586,False
14,2023-03-18T22:18:59Z,sir_frankster,ios,267256,US,107.115.17.123,unknown,Northern Attitude,Noah Kahan,Stick Season,spotify:track:4O2rRsoSPb5aN7N3tG6Y3v,,,,trackdone,trackdone,True,0.0,False,1679177672,False
15,2022-03-30T14:26:00Z,sir_frankster,Windows 10 (10.0.19044; x64),207560,US,67.80.109.157,unknown,Top Of The World,Ciara Renée,The Hunchback of Notre Dame (Studio Cast Recording),spotify:track:5GU2rPUlPhZOiPIKvWqJL7,,,,trackdone,trackdone,False,,False,1648650152822,False
16,2018-06-29T05:29:51Z,sir_frankster,OS X 10.13.5 [x86 8],242813,US,73.215.121.100,unknown,What This World Is Coming To (feat. Beck),Nate Ruess,Grand Romantic,spotify:track:5tmSj8teJ7hesowetlYw9r,,,,trackdone,trackdone,False,,False,1530249947225,False
17,2021-01-13T19:39:16Z,sir_frankster,Windows 10 (10.0.18363; x64; AppX),169353,US,108.53.217.176,unknown,Let Me Down Slowly,Alec Benjamin,Narrated For You,spotify:track:2qxmye6gAegTMjLKEBoR3d,,,,clickrow,trackdone,False,,False,1610566587108,False
18,2018-03-28T11:31:31Z,sir_frankster,"iOS 11.2.6 (iPhone8,1)",99212,US,66.87.85.71,unknown,Look What You Made Me Do,Taylor Swift,reputation,spotify:track:1P17dC1amhFzptugyAO7Il,,,,trackdone,unexpected-exit-while-paused,True,,False,1522173880317,False
19,2018-03-20T13:12:29Z,sir_frankster,"iOS 11.1.1 (iPhone8,1)",201106,US,66.87.30.64,unknown,Our Song,Taylor Swift,Taylor Swift,spotify:track:15DeqWWQB4dcEWzJg15VrN,,,,trackdone,trackdone,True,,False,1521551347297,False
20,2017-10-21T04:45:33Z,sir_frankster,"iOS 11.0.3 (iPhone6,1)",5851,US,108.53.119.186,unknown,Best Thing I Never Had,Beyoncé,4,spotify:track:3lBRNqXjPp2j3JMTCXDTNO,,,,playbtn,endplay,True,,False,1508561126861,False
21,2022-01-17T01:29:24Z,sir_frankster,OS X 11.4.0 [arm 2],220492,US,38.126.101.139,unknown,Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,,,,trackdone,trackdone,False,,False,1642382742908,False
22,2015-05-10T22:40:53Z,sir_frankster,"iOS 8.2 (iPod5,1)",2647,US,96.25.209.201,unknown,Come As You Are - 1992/Live at Reading,Nirvana,Live at Reading,spotify:track:1FmyQsaX4olWP8OOHzVT6c,,,,clickrow,fwdbtn,False,1.0,False,0,False
23,2020-04-15T01:56:34Z,sir_frankster,"iOS 13.3.1 (iPhone10,1)",14675,US,100.8.116.86,unknown,Chinese Democracy,Guns N' Roses,Chinese Democracy,spotify:track:0zoK1L5JxJbyk7T2nw367B,,,,fwdbtn,endplay,True,,False,1586915779097,False
24,2021-02-11T14:18:06Z,sir_frankster,"iOS 14.4 (iPhone13,1)",212093,US,108.53.217.176,unknown,Holy (feat. Chance The Rapper),Justin Bieber,Holy,spotify:track:5u1n1kITHCxxp8twBcZxWy,,,,trackdone,trackdone,True,,False,1613052873340,False
25,2021-03-29T18:39:10Z,sir_frankster,Windows 10 (10.0.19042; x64),206480,US,76.169.238.55,unknown,"Baby, I Love Your Way",Big Mountain,The Best of Big Mountain,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,,,,clickrow,endplay,False,,False,1617039545150,False
26,2022-12-18T20:02:50Z,sir_frankster,ios,213712,US,107.122.192.162,unknown,Desperado - 2013 Remaster,Eagles,Desperado,spotify:track:2TjnCxxQRYn56Ye8gkUKiW,,,,trackdone,trackdone,True,0.0,False,1671393557,False
27,2021-02-15T22:58:35Z,sir_frankster,Windows 10 (10.0.18363; x64; AppX),309703,US,108.53.217.176,unknown,Caprice No. 24,David Garrett,Garrett Vs. Paganini,spotify:track:3ImbMl00f3vFYB5VPoOcXA,,,,trackdone,trackdone,False,,False,1613429605161,False
28,2018-01-23T20:19:49Z,sir_frankster,"iOS 11.1.1 (iPhone8,1)",211240,US,66.87.31.63,unknown,Say You Won't Let Go,James Arthur,Say You Won't Let Go,spotify:track:1Pw5C4N6Fn5E4mGCxmbbVa,,,,trackdone,trackdone,True,,False,1516738576811,False
29,2021-05-09T00:16:11Z,sir_frankster,"iOS 14.4.2 (iPhone13,1)",1323,US,107.127.45.129,unknown,when the party's over - Recorded at Spotify Studios NYC,Lewis Capaldi,Spotify Singles,spotify:track:6H7fWtwEUHVfTyZD7zeG4w,,,,fwdbtn,fwdbtn,True,,False,1620519369698,False
30,2021-10-02T03:10:40Z,sir_frankster,OS X 11.4.0 [x86 4],246609,US,24.146.205.242,unknown,Wild At Heart,Lana Del Rey,Chemtrails Over The Country Club,spotify:track:5RJot1fR8C90lLXzHtUqpo,,,,clickrow,trackdone,False,,False,1633143994082,False
31,2017-11-18T17:07:16Z,sir_frankster,OS X 10.13.1 [x86 8],210933,US,130.68.183.7,unknown,Angels We Have Heard on High (with Brian McKnight),Josh Groban,Noël,spotify:track:7yPtjVIw1fQ86Pug1Tuzbd,,,,clickrow,trackdone,False,,False,1511024625458,False
32,2018-04-04T13:07:55Z,sir_frankster,OS X 10.13.3 [x86 8],227173,US,128.235.250.32,unknown,In Another Life,The Veronicas,Hook Me Up,spotify:track:3IhjSx1xGeAwCCZkczQ4CF,,,,trackdone,trackdone,False,,False,1522847047030,False
33,2018-01-25T12:20:02Z,sir_frankster,"iOS 11.1.1 (iPhone8,1)",253080,US,66.87.85.192,unknown,Hero Of War,Rise Against,Appeal To Reason,spotify:track:2y6zrJK0sgeQt6oNkz6Xb7,,,,trackdone,trackdone,True,,False,1516882548263,False
34,2019-02-25T01:01:47Z,sir_frankster,OS X 10.14.2 [x86 8],19133,US,174.57.151.39,unknown,I'll Wait For You - Dialogue,Cast,A Star Is Born Soundtrack,spotify:track:1dm7A3ofkewH84XwajxF1F,,,,trackdone,trackdone,False,,False,1551056487970,False
35,2021-10-30T15:32:30Z,sir_frankster,Windows 10 (10.0.19042; x64),154426,US,130.132.173.35,unknown,Use Somebody,Kings of Leon,Only By The Night,spotify:track:5VGlqQANWDKJFl0MBG3sg2,,,,trackdone,endplay,False,,False,1635559008876,False
36,2017-11-02T20:21:35Z,sir_frankster,OS X 10.12.6 [x86 8],232840,US,128.235.8.252,unknown,We'll Be A Dream,We The Kings,Smile Kid,spotify:track:2Ph5ON7knzPFDQgtHM47cP,,,,trackdone,trackdone,False,,False,1509653861147,False
